127.0.0.1 - - [10/Jun/2023:13:14:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jun/2023:13:15:02 +0530] "GET /Firstjsp/Firstjsp.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [10/Jun/2023:13:15:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jun/2023:13:15:55 +0530] "GET /Firstjsp/Firstjsp.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:13:24:49 +0530] "GET /Firstjsp/EvenOrOdd.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [10/Jun/2023:13:26:37 +0530] "GET /Firstjsp/EvenOrOdd.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [10/Jun/2023:13:27:51 +0530] "GET /Firstjsp/EvenOrOdd.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [10/Jun/2023:13:42:38 +0530] "GET /Firstjsp/EvenOrOdd.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [10/Jun/2023:13:42:45 +0530] "GET /Firstjsp/EvenOrOdd.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [10/Jun/2023:13:43:02 +0530] "GET /Firstjsp/EvenOrOdd.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [10/Jun/2023:14:01:00 +0530] "GET /Firstjsp/AmstrongeNumber.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [10/Jun/2023:14:01:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jun/2023:14:09:07 +0530] "GET /Firstjsp/AmstrongeNumber.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [10/Jun/2023:14:09:12 +0530] "GET /Firstjsp/AmstrongeNumber.jsp?name=B+Surya+ HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [10/Jun/2023:14:13:09 +0530] "GET /Firstjsp/AmstrongeNumber.jsp?name=B+Surya+ HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [10/Jun/2023:14:13:55 +0530] "GET /Firstjsp/AmstrongeNumber.jsp?name=B+Surya+ HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [10/Jun/2023:14:14:13 +0530] "GET /Firstjsp/AmstrongeNumber.jsp?name=B+Surya+ HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [10/Jun/2023:14:14:16 +0530] "GET /Firstjsp/AmstrongeNumber.jsp?name=B+Surya+ HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [10/Jun/2023:14:14:21 +0530] "GET /Firstjsp/AmstrongeNumber.jsp?name=B+Surya+Prakash HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [10/Jun/2023:14:14:28 +0530] "GET /Firstjsp/AmstrongeNumber.jsp?name=vansai HTTP/1.1" 200 272
